Ekspresi,Waktu
Neutral,13:55:17
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:18
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Neutral,13:55:19
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:20
Happy,13:55:21
Happy,13:55:21
Happy,13:55:21
Happy,13:55:21
Happy,13:55:21
Happy,13:55:21
Happy,13:55:21
Happy,13:55:22
Neutral,13:55:22
Neutral,13:55:22
Anger,13:55:22
Anger,13:55:22
Anger,13:55:22
Anger,13:55:22
Anger,13:55:22
Anger,13:55:23
Anger,13:55:23
Anger,13:55:23
Anger,13:55:23
Anger,13:55:23
Anger,13:55:23
Anger,13:55:23
Anger,13:55:23
Anger,13:55:24
Anger,13:55:24
Anger,13:55:24
Anger,13:55:24
Anger,13:55:24
Anger,13:55:24
Anger,13:55:24
Anger,13:55:25
Neutral,13:55:25
Neutral,13:55:25
Neutral,13:55:25
Neutral,13:55:25
Neutral,13:55:25
Neutral,13:55:25
Neutral,13:55:25
Neutral,13:55:26
Neutral,13:55:26
Neutral,13:55:26
Neutral,13:55:26
Neutral,13:55:26
Neutral,13:55:26
Neutral,13:55:26
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:27
Neutral,13:55:28
Neutral,13:55:28
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:29
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:30
Neutral,13:55:31
Neutral,13:55:31
Neutral,13:55:32
Happy,13:55:32
Happy,13:55:32
Happy,13:55:32
Happy,13:55:32
Happy,13:55:33
Happy,13:55:33
Happy,13:55:33
Happy,13:55:33
Happy,13:55:33
Happy,13:55:33
Happy,13:55:33
Happy,13:55:33
Happy,13:55:34
Happy,13:55:34
Happy,13:55:34
Happy,13:55:34
Happy,13:55:34
Happy,13:55:34
Happy,13:55:34
Happy,13:55:35
Happy,13:55:35
Happy,13:55:35
Neutral,13:55:35
Neutral,13:55:35
Neutral,13:55:35
Neutral,13:55:35
Neutral,13:55:35
Neutral,13:55:36
Neutral,13:55:36
Neutral,13:55:36
Neutral,13:55:36
Neutral,13:55:36
Neutral,13:55:36
Neutral,13:55:36
Neutral,13:55:37
Neutral,13:55:37
Neutral,13:55:37
Neutral,13:55:37
Neutral,13:55:37
Surprise,13:55:37
Surprise,13:55:37
Surprise,13:55:37
Surprise,13:55:37
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:38
Surprise,13:55:39
Surprise,13:55:39
Surprise,13:55:39
Surprise,13:55:39
Surprise,13:55:40
Surprise,13:55:40
Surprise,13:55:40
Surprise,13:55:40
Surprise,13:55:40
Neutral,13:55:40
Neutral,13:55:40
Neutral,13:55:40
Neutral,13:55:41
Neutral,13:55:41
Neutral,13:55:41
Neutral,13:55:41
Neutral,13:55:41
Neutral,13:55:41
Neutral,13:55:41
Neutral,13:55:42
Neutral,13:55:42
Neutral,13:55:42
Neutral,13:55:42
Happy,13:55:42
Happy,13:55:42
Happy,13:55:42
Happy,13:55:42
Happy,13:55:43
Happy,13:55:43
Happy,13:55:43
Happy,13:55:43
Happy,13:55:43
Happy,13:55:43
Happy,13:55:43
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:44
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:45
Happy,13:55:46
Happy,13:55:46
Happy,13:55:47
Neutral,13:55:47
Neutral,13:55:47
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:48
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:49
Neutral,13:55:50
Neutral,13:55:50
Neutral,13:55:50
Neutral,13:55:50
Neutral,13:55:50
Neutral,13:55:50
Neutral,13:55:50
Neutral,13:55:51
Neutral,13:55:51
Neutral,13:55:51
Neutral,13:55:51
Neutral,13:55:51
Happy,13:55:51
Happy,13:55:51
Happy,13:55:51
Happy,13:55:51
Happy,13:55:51
Neutral,13:55:51
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:52
Neutral,13:55:53
Neutral,13:55:53
Neutral,13:55:53
Neutral,13:55:53
Neutral,13:55:53
Neutral,13:55:53
Neutral,13:55:53
Neutral,13:55:54
Neutral,13:55:54
Neutral,13:55:54
Neutral,13:55:54
Neutral,13:55:54
Neutral,13:55:54
Neutral,13:55:54
Happy,13:55:55
Happy,13:55:55
Happy,13:55:55
Happy,13:55:55
Happy,13:55:55
Happy,13:55:55
Happy,13:55:55
Neutral,13:55:55
Neutral,13:55:56
Neutral,13:55:56
Neutral,13:55:56
Anger,13:55:56
Anger,13:55:56
Anger,13:55:56
Anger,13:55:56
Anger,13:55:57
Neutral,13:55:57
Neutral,13:55:57
Neutral,13:55:57
Neutral,13:55:57
Neutral,13:55:57
Neutral,13:55:57
Neutral,13:55:57
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:58
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:55:59
Neutral,13:56:00
Neutral,13:56:00
Surprise,13:56:00
Surprise,13:56:00
Surprise,13:56:00
Surprise,13:56:00
Surprise,13:56:00
Surprise,13:56:01
Neutral,13:56:01
Surprise,13:56:01
Neutral,13:56:01
Neutral,13:56:01
Neutral,13:56:01
Neutral,13:56:01
Neutral,13:56:02
Neutral,13:56:02
Neutral,13:56:02
Neutral,13:56:02
Neutral,13:56:02
Neutral,13:56:02
Neutral,13:56:02
Neutral,13:56:03
Neutral,13:56:03
Neutral,13:56:03
Neutral,13:56:03
Neutral,13:56:03
